export id,app settings,dataset,dataset id,ROI Name,Channel Identifier,Raw Channel Identifier,id,x,y,Number of localisations,Skew,Circularity,Density (nm^-2),Area (nm^2),Discretised area (nm^2),Radius of gyration (nm),Length (nm),Count Type,Counts in Channel 1,Counts in Channel 2,Positivity in Channel 1,Positivity in Channel 2
8,sb tem 30,ONI EVs sample1-1,d-0hz12tjmv6rj73l2atl,Full Field of View, Channel 1-Channel 2 Merged Clusters, Channel 1-Channel 2 Merged Clusters,78349,16664.766,17667.5,18,2.0335448,0.48488933,7.77E-05,231720.62,5600,298.0271,1057.7327,binned,1,0,FALSE,FALSE
8,sb tem 30,ONI EVs sample1-1,d-0hz12tjmv6rj73l2atl,Full Field of View, Channel 1-Channel 2 Merged Clusters, Channel 1-Channel 2 Merged Clusters,78348,4417.2554,8387.105,110,2.3968568,0.58543545,0.003127421,35172.75,21200,73.80842,284.11508,binned,44,6,TRUE,TRUE
8,sb tem 30,ONI EVs sample1-1,d-0hz12tjmv6rj73l2atl,Full Field of View, Channel 1-Channel 2 Merged Clusters, Channel 1-Channel 2 Merged Clusters,78347,5109.013,8295.41,36,4.848211,0.39931497,0.001403201,25655.625,9600,92.42858,400.85327,binned,17,0,TRUE,FALSE
8,sb tem 30,ONI EVs sample1-1,d-0hz12tjmv6rj73l2atl,Full Field of View, Channel 1-Channel 2 Merged Clusters, Channel 1-Channel 2 Merged Clusters,78345,27757.57,294.21896,22,1.3243037,0.8048295,0.005303426,4148.2617,5200,29.474257,93.40626,binned,12,0,TRUE,FALSE
8,sb tem 30,ONI EVs sample1-1,d-0hz12tjmv6rj73l2atl,Full Field of View, Channel 1-Channel 2 Merged Clusters, Channel 1-Channel 2 Merged Clusters,78341,4737.1045,7499.3296,44,1.8444997,0.590453,0.001398318,31466.375,13600,80.17422,253.02347,binned,27,0,TRUE,FALSE
8,sb tem 30,ONI EVs sample1-1,d-0hz12tjmv6rj73l2atl,Full Field of View, Channel 1-Channel 2 Merged Clusters, Channel 1-Channel 2 Merged Clusters,78337,35944.805,11455.079,17,1.4552943,0.71897227,0.008116012,2094.625,2400,23.0701,70.35976,binned,8,0,TRUE,FALSE
8,sb tem 30,ONI EVs sample1-1,d-0hz12tjmv6rj73l2atl,Full Field of View, Channel 1-Channel 2 Merged Clusters, Channel 1-Channel 2 Merged Clusters,78336,5514.7964,10403.477,22,1.5229708,0.7676046,0.00632502,3478.25,4000,25.89039,91.237755,binned,11,0,TRUE,FALSE
8,sb tem 30,ONI EVs sample1-1,d-0hz12tjmv6rj73l2atl,Full Field of View, Channel 1-Channel 2 Merged Clusters, Channel 1-Channel 2 Merged Clusters,78333,26497.326,388.16556,19,4.3617964,0.38799077,0.000217424,87386.95,6800,189.75343,787.29333,binned,12,0,TRUE,FALSE
8,sb tem 30,ONI EVs sample1-1,d-0hz12tjmv6rj73l2atl,Full Field of View, Channel 1-Channel 2 Merged Clusters, Channel 1-Channel 2 Merged Clusters,78329,49605.703,64252.215,41,2.1048546,0.4674151,0.000148398,276284,12000,327.79767,1178.9924,binned,12,0,TRUE,FALSE
8,sb tem 30,ONI EVs sample1-1,d-0hz12tjmv6rj73l2atl,Full Field of View, Channel 1-Channel 2 Merged Clusters, Channel 1-Channel 2 Merged Clusters,78325,24413.88,791.2698,44,1.1847314,0.8670193,0.006244311,7046.414,6800,28.862322,79.563995,binned,15,0,TRUE,FALSE
8,sb tem 30,ONI EVs sample1-1,d-0hz12tjmv6rj73l2atl,Full Field of View, Channel 1-Channel 2 Merged Clusters, Channel 1-Channel 2 Merged Clusters,78323,1707.5613,20595.494,67,2.0414815,0.7546011,0.004098549,16347.25,13200,57.13458,193.28366,binned,18,19,TRUE,TRUE
8,sb tem 30,ONI EVs sample1-1,d-0hz12tjmv6rj73l2atl,Full Field of View, Channel 1-Channel 2 Merged Clusters, Channel 1-Channel 2 Merged Clusters,78315,6923.042,8945.805,19,1.6576881,0.5838426,4.07E-05,466326.72,6800,380.15024,1227.747,binned,0,1,FALSE,FALSE
8,sb tem 30,ONI EVs sample1-1,d-0hz12tjmv6rj73l2atl,Full Field of View, Channel 1-Channel 2 Merged Clusters, Channel 1-Channel 2 Merged Clusters,78313,3240.9255,16315.781,48,1.9084008,0.74678653,0.003376893,14214.25,11200,53.104694,160.74379,binned,16,8,TRUE,TRUE
8,sb tem 30,ONI EVs sample1-1,d-0hz12tjmv6rj73l2atl,Full Field of View, Channel 1-Channel 2 Merged Clusters, Channel 1-Channel 2 Merged Clusters,78312,42480.03,67584.76,38,1.3553274,0.7313866,5.17E-05,735100,11200,516.31226,996.39374,binned,0,0,FALSE,FALSE
8,sb tem 30,ONI EVs sample1-1,d-0hz12tjmv6rj73l2atl,Full Field of View, Channel 1-Channel 2 Merged Clusters, Channel 1-Channel 2 Merged Clusters,78311,41270.613,68110.72,53,1.1389194,0.8296857,0.006981493,7591.5,8000,30.219429,90.36627,binned,18,0,TRUE,FALSE
8,sb tem 30,ONI EVs sample1-1,d-0hz12tjmv6rj73l2atl,Full Field of View, Channel 1-Channel 2 Merged Clusters, Channel 1-Channel 2 Merged Clusters,78304,44505.047,67953.74,77,1.2451198,0.8248721,0.005034052,15295.828,12800,43.62812,121.17552,binned,28,3,TRUE,TRUE
8,sb tem 30,ONI EVs sample1-1,d-0hz12tjmv6rj73l2atl,Full Field of View, Channel 1-Channel 2 Merged Clusters, Channel 1-Channel 2 Merged Clusters,78303,45259.23,66907.47,32,1.7965398,0.8103916,0.003164401,10112.5,7600,47.257282,140.36218,binned,20,0,TRUE,FALSE
8,sb tem 30,ONI EVs sample1-1,d-0hz12tjmv6rj73l2atl,Full Field of View, Channel 1-Channel 2 Merged Clusters, Channel 1-Channel 2 Merged Clusters,78300,1379.2537,6832.276,34,1.2331941,0.7915306,0.000909056,37401.42,8800,79.39803,198.82622,binned,13,6,TRUE,TRUE
